filename,exposure,timestamp,algol_x,algol_y,ref1_x,ref1_y,ref2_x,ref2_y,ref3_x,ref3_y
algol_0.08_2025-02-28T17:09:17.575.fits,0.08,2025-02-28T17:09:17.575,1268.84809152672,588.813592254732,1359.98420187514,326.444645102289,1706.71829936846,583.342240381745,456.093942217756,650.014038639293
algol_0.08_2025-02-28T17:10:49.477.fits,0.08,2025-02-28T17:10:49.477,1268.95577406834,588.765611398852,1356.93701883879,329.302021914252,1706.41264827071,587.862910619081,453.327130959158,646.123534565262
algol_0.1_2025-02-28T17:12:20.978.fits,0.1,2025-02-28T17:12:20.978,1270.35933701435,587.067220137218,1357.25550822865,328.511122688848,1706.57157174289,584.101770270795,452.633255030337,645.4260084321
algol_0.1_2025-02-28T17:14:16.223.fits,0.1,2025-02-28T17:14:16.223,1269.54103837275,587.749655579622,1363.81950995644,330.39806094992,1707.06027067939,583.135773669593,452.868988507293,645.912519359131
algol_0.1_2025-02-28T17:16:15.966.fits,0.1,2025-02-28T17:16:15.966,1268.71025922962,589.081962919483,1362.8996596409,327.642476760934,1706.45820133771,584.733425515754,452.375920074024,645.780830106247
algol_0.1_2025-02-28T17:19:44.971.fits,0.1,2025-02-28T17:19:44.971,1268.90589708554,588.681585510236,1356.86678507669,328.947995441158,1706.16040489107,584.20893437735,453.358398780928,645.697137135999
algol_0.1_2025-02-28T17:21:47.273.fits,0.1,2025-02-28T17:21:47.273,1268.86326085014,589.201232739708,1357.07287059246,328.397948980601,1706.14152526573,583.181593395357,453.689255387424,646.248782014856
algol_0.1_2025-02-28T17:23:55.067.fits,0.1,2025-02-28T17:23:55.067,1270.28542897185,587.325047659063,1357.03572399378,330.753289699455,1710.59860599759,581.398567287798,452.283904594158,646.910617050987
algol_0.1_2025-02-28T17:26:04.479.fits,0.1,2025-02-28T17:26:04.479,1269.52766768144,588.098302395659,1352.94574626554,337.778782006412,1709.98696312955,581.138066283139,453.024017190025,646.107482979376
algol_0.1_2025-02-28T17:29:03.193.fits,0.1,2025-02-28T17:29:03.193,1268.81144774493,589.461642733825,1351.64739104798,331.333945007168,1709.41468557961,582.300395116991,452.890583552417,645.906620410836
algol_0.1_2025-02-28T17:32:26.238.fits,0.1,2025-02-28T17:32:26.238,1268.85189946814,589.549453192964,1349.66046983212,331.873129230673,1707.87932392032,581.624676318074,450.605101877177,641.698913982211
algol_0.1_2025-02-28T17:35:20.843.fits,0.1,2025-02-28T17:35:20.843,1272.29137587881,584.920803566369,1344.33834104774,335.782594159282,1710.3430442007,582.282699215549,450.839425637484,639.611676525347
algol_0.1_2025-02-28T17:39:06.201.fits,0.1,2025-02-28T17:39:06.201,1269.17073503034,588.967533600284,1341.11558822885,340.444987719875,1718.3022743247,586.24520887322,451.23990176392,639.91815218846
algol_0.2_2025-02-28T17:42:49.212.fits,0.2,2025-02-28T17:42:49.212,1271.34528290959,586.335848199845,1342.04534288238,344.853768453805,1718.68636097414,583.92364932315,457.156992395936,639.057891480213
algol_0.2_2025-02-28T17:45:26.373.fits,0.2,2025-02-28T17:45:26.373,1270.46394790306,587.251889889149,1344.5020485656,352.39550953487,1718.53723136519,583.785911995179,456.449594400434,639.324680303863
algol_0.2_2025-02-28T17:47:40.264.fits,0.2,2025-02-28T17:47:40.264,1270.28842575968,587.4050804353,1344.85783003439,352.256387512155,1718.4644803364,583.74390183228,456.973721334873,639.054923716021
algol_0.2_2025-02-28T17:50:37.630.fits,0.2,2025-02-28T17:50:37.630,1270.1133165843,586.528379280937,1344.70748617473,351.924378923543,1720.82882581981,578.26334381748,456.931720667353,638.448450212676
algol_0.2_2025-02-28T17:53:39.184.fits,0.2,2025-02-28T17:53:39.184,1271.01817250387,586.840724570473,1344.42872384561,352.665861882258,1719.06993434782,584.041922697232,457.113889091103,639.458331486892
algol_0.2_2025-02-28T17:56:43.652.fits,0.2,2025-02-28T17:56:43.652,1272.59878173032,586.118591660288,1344.41415147805,351.62523716882,1718.89157035585,583.821549549225,456.137361608975,639.404050687946
algol_0.2_2025-02-28T18:00:42.428.fits,0.2,2025-02-28T18:00:42.428,1271.19891771083,587.52050653372,1344.16920162001,351.985963939299,1718.60106327591,583.253079990403,457.229746236899,639.263791830247
